UUID,Group,Perceived Usefulness,Perceived Ease of Use,Self-Efficacy,Mental Load,Performance,Effort,Frustration
f971d5ae-a9ff-4a23-a92b-7650ad697dfc,E,6.166666666666667,6.5,5.8,10,5,10,4
7d8c9331-dd8c-4df6-8f6c-9e7a16d008d9,B,5.333333333333333,5.666666666666667,9.1,3,14,12,12
fa69270e-20e0-4849-bae1-473de60495a4,B,4.166666666666667,6.5,9.1,18,1,15,15
8d7e51b5-77bd-4474-8bcb-127fa69cd98c,E,7.0,6.666666666666667,9.9,2,2,0,0
f41a9ecb-7000-4ae1-8b8e-1b39ea598476,B,5.5,6.666666666666667,9.8,13,2,15,15
adbea003-c17e-463f-8ae0-c397f6f3eec1,E,5.333333333333333,5.166666666666667,8.0,4,4,0,0
74463bbb-d158-461a-82f3-a030a108e157,E,4.833333333333333,6.5,9.5,18,1,17,1
c4806f2c-dd6d-425c-a23d-62d29b4a1e5b,E,6.166666666666667,7.0,9.8,13,7,13,1
dbc1d144-1c2c-42f5-b63c-e84c446a9189,E,5.333333333333333,5.166666666666667,5.4,10,7,8,9
c452fa6e-d3a9-4756-ac68-f9349fb5e059,B,6.0,6.0,8.9,15,15,5,15
473ee59a-2809-485a-a7ca-5d2f8f776bca,B,5.333333333333333,5.5,9.9,10,2,10,2
40c36240-b41c-41fd-8502-160341017569,B,5.166666666666667,6.666666666666667,9.3,15,8,7,4
de51720a-9929-4aa5-8d89-065b3c052f4c,E,6.5,4.5,9.1,18,1,18,3
